item_id,name,category,price,calories,description,ingredients
1,Chicken,protein,4.50,250,Tender marinated chicken,chicken breast
2,Paneer,protein,4.50,220,Fresh cottage cheese,paneer
3,Egg,protein,3.50,180,Farm fresh eggs,eggs
4,Curry Special,sauce,0.00,120,Signature curry sauce,spices
5,Malai Masala,sauce,0.00,150,Creamy cashew sauce,cashew cream
6,Rice,base,0.00,300,Basmati rice,rice
7,Naan,base,0.00,280,Soft flatbread,flour
8,Bell Pepper,veggie,0.00,30,Fresh bell peppers,bell pepper
9,Tomato,veggie,0.00,25,Fresh tomatoes,tomato
10,Cilantro,veggie,0.00,5,Fresh coriander,cilantro
