participant_id,trial_number,condition,trial_type,completion_time_seconds,satisfaction_rating,nasa_tlx_score,sus_score,recommendation_acceptance,error_count,navigation_steps,trust_rating,order_data
P001,1,baseline,free_choice,7.2,4.5,72,68,N/A,1,9,4.2,rice_bowl_chicken_mild
P001,2,baseline,specific_requirement,6.8,5.1,69,71,N/A,0,8,4.5,healthy_salad_protein
P001,3,baseline,free_choice,8.1,4.8,75,66,N/A,2,10,4.1,curry_medium_rice
P001,4,baseline,specific_requirement,7.5,4.9,71,69,N/A,1,9,4.3,comfort_food_mild
P001,5,baseline,free_choice,6.9,5.0,68,72,N/A,0,7,4.6,noodle_bowl_spicy
P001,6,adaptive,free_choice,6.5,6.8,45,89,0.8,0,6,6.2,personalized_bowl_recommended
P001,7,adaptive,specific_requirement,6.2,7.1,42,91,0.9,0,5,6.5,health_optimized_salad
P001,8,adaptive,free_choice,7.0,6.5,48,86,0.7,0,6,6.0,mood_matched_curry
P001,9,adaptive,specific_requirement,6.8,6.9,44,88,0.8,0,5,6.4,weather_adapted_soup
P001,10,adaptive,free_choice,6.4,7.2,41,92,0.9,0,5,6.6,ai_curated_special
P002,1,adaptive,free_choice,6.9,6.4,47,85,0.8,0,6,5.9,recommended_favorite
P002,2,adaptive,specific_requirement,6.7,6.8,43,89,0.9,0,5,6.3,health_conscious_choice
P002,3,adaptive,free_choice,7.1,6.6,46,87,0.7,0,6,6.1,emotion_responsive_meal
P002,4,adaptive,specific_requirement,6.5,7.0,42,90,0.8,0,5,6.5,context_aware_selection
P002,5,adaptive,free_choice,6.8,6.9,44,88,0.9,0,5,6.4,intelligent_recommendation
P002,6,baseline,free_choice,7.8,4.6,74,67,N/A,1,9,4.3,standard_curry_rice
P002,7,baseline,specific_requirement,8.2,4.9,76,65,N/A,2,10,4.1,traditional_meal
P002,8,baseline,free_choice,7.6,5.2,71,70,N/A,1,8,4.4,regular_order
P002,9,baseline,specific_requirement,7.9,4.8,73,68,N/A,1,9,4.2,basic_healthy_option
P002,10,baseline,free_choice,7.4,5.0,70,69,N/A,0,8,4.5,simple_selection
